name	title	slot_uri	comments	description	examples	in_subset	keywords	multivalued	pattern	range	recommended	required	string_serialization	structured_pattern	Expected_value	Preferred_unit
room_samp_pos	room sampling position	MIXS:0000824		The horizontal sampling position in the room relative to architectural elements	{'value': 'south corner'}		room			RoomSampPosEnum						
room_type	room type	MIXS:0000825		The main purpose or activity of the sampling room. A room is any distinguishable space within a structure	{'value': 'bathroom'}		room|type			string			[attic|bathroom|closet|conference room|elevator|examining room|hallway|kitchen|mail room|private office|open office|stairwell|,restroom|lobby|vestibule|mechanical or electrical room|data center|laboratory_wet|laboratory_dry|gymnasium|natatorium|auditorium|lockers|cafe|warehouse]		enumeration	
room_vol	room volume	MIXS:0000195		Volume of sampling room			room|volume			string				{'syntax': '^{integer} {text}$', 'interpolated': True, 'partial_match': True}		cubic feet, cubic meter
room_wall_share	rooms that share a wall with sampling room	MIXS:0000243		List of room(s) (room number, room name) sharing a wall with the sampling room			room|wall			string				{'syntax': '^{room_name};{room_number}$', 'interpolated': True, 'partial_match': True}		
room_window_count	room window count	MIXS:0000237		Number of windows in the room			count|room|window			integer						
samp_floor	sampling floor	MIXS:0000828		The floor of the building, where the sampling room is located	{'value': '4th floor'}		floor		^(?:(?:\d*1[1-3]th|\d*1st|\d*2nd|\d*3rd|\d*[04-9]th) floor|basement|lobby)$	string					enumeration	
samp_name	sample name	MIXS:0001107		A local identifier or name that for the material sample used for extracting nucleic acids, and subsequent sequencing. It can refer either to the original material collected or to any derived sub-samples. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible. INSDC requires every sample name from a single Submitter to be unique. Use of a globally unique identifier for the field source_mat_id is recommended in addition to sample_name	{'value': 'ISDsoil1'}	investigation	sample			string		True				
samp_room_id	sampling room ID or name	MIXS:0000244		Sampling room number. This ID should be consistent with the designations on the building floor plans			identifier|room			integer						
samp_sort_meth	sample size sorting method	MIXS:0000216		Method by which samples are sorted; open face filter collecting total suspended particles, prefilter to remove particles larger than X micrometers in diameter, where common values of X would be 10 and 2.5 full size sorting in a cascade impactor			method|sample|size	True		string						
samp_time_out	sampling time outside	MIXS:0000196		The recent and long term history of outside sampling			time			string			{float}		time	hour
samp_weather	sampling day weather	MIXS:0000827		The weather on the sampling day	{'value': 'foggy'}		day|weather			SampWeatherEnum						
season	season	MIXS:0000829		The season when sampling occurred. Any of the four periods into which the year is divided by the equinoxes and solstices. This field accepts terms listed under season (http://purl.obolibrary.org/obo/NCIT_C94729)	{'value': 'autumn [NCIT:C94733]'}		season			SeasonEnum						
season_use	seasonal use	MIXS:0000830		The seasons the space is occupied	{'value': 'Winter'}		season|use			SeasonUseEnum						
shad_dev_water_mold	shading device signs of water/mold	MIXS:0000834		Signs of the presence of mold or mildew on the shading device	{'value': 'no presence of mold visible'}		device			MoldVisibilityEnum						
shading_device_cond	shading device condition	MIXS:0000831		The physical condition of the shading device at the time of sampling	{'value': 'new'}		condition|device			DamagedRupturedEnum						
shading_device_loc	shading device location	MIXS:0000832		The location of the shading device in relation to the built structure	{'value': 'exterior'}		device|location			ShadingDeviceLocEnum						
shading_device_mat	shading device material	MIXS:0000245		The material the shading device is composed of			device|material			string					material name	
shading_device_type	shading device type	MIXS:0000835		The type of shading device	{'value': 'slatted aluminum', 'description': 'was slatted aluminum awning'}		device|type			ShadingDeviceTypeEnum						
space_typ_state	space typical state	MIXS:0000770		Customary or normal state of the space	{'value': 'typically occupied'}					SpaceTypStateEnum		True				
specific	specifications	MIXS:0000836		The building specifications. If design is chosen, indicate phase: conceptual, schematic, design development, construction documents	{'value': 'construction'}					SpecificEnum						
specific_humidity	specific humidity	MIXS:0000214		The mass of water vapour in a unit mass of moist air, usually expressed as grams of vapour per kilogram of air, or, in air conditioning, as grains per pound	{'value': '15 per kilogram of air'}		humidity			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		gram of air, kilogram of air
substructure_type	substructure type	MIXS:0000767		The substructure or under building is that largely hidden section of the building which is built off the foundations to the ground floor level	{'value': 'basement'}		type	True		SubstructureTypeEnum						
surf_air_cont	surface-air contaminant	MIXS:0000759		Contaminant identified on surface	{'value': 'radon'}			True		SurfAirContEnum	True					
surf_humidity	surface humidity	MIXS:0000123	percent or float?	Surfaces: water activity as a function of air and material moisture	{'value': '0.1'}		humidity|surface			float	True			{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		percentage
surf_material	surface material	MIXS:0000758		Surface materials at the point of sampling	{'value': 'wood'}		material|surface			SurfMaterialEnum	True	True				
surf_moisture	surface moisture	MIXS:0000128		Water held on a surface	{'value': '0.01 gram per square meter'}		moisture|surface			string	True			{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		parts per million, gram per cubic meter, gram per square meter
surf_moisture_ph	surface moisture pH	MIXS:0000760		ph measurement of surface	{'value': '7'}		moisture|ph|surface			float	True					
surf_temp	surface temperature	MIXS:0000125		Temperature of the surface at the time of sampling	{'value': '15 degree Celsius'}		surface|temperature			string	True			{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		degree Celsius
temp_out	temperature outside house	MIXS:0000197		The recorded temperature value at sampling time outside	{'value': '5 degree Celsius'}		house|temperature			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		degree Celsius
train_line	train line	MIXS:0000837		The subway line name	{'value': 'red'}		train			TrainLineEnum						
train_stat_loc	train station collection location	MIXS:0000838		The train station collection location	{'value': 'forest hills'}		location|train			TrainStatLocEnum						
train_stop_loc	train stop collection location	MIXS:0000839		The train stop collection location	{'value': 'end'}		location|stop|train			TrainStopLocEnum						
typ_occup_density	typical occupant density	MIXS:0000771		Customary or normal density of occupants	{'value': '25'}		density			float		True				
ventilation_type	ventilation type	MIXS:0000756		Ventilation system used in the sampled premises	{'value': 'Operable windows'}		type	True		string		True			ventilation type name	
vis_media	visual media	MIXS:0000840		The building visual media	{'value': '3D scans'}					string			[photos|videos|commonly of the building|site context (adjacent buildings, vegetation, terrain, streets)|interiors|equipment|3D scans]		enumeration	
wall_area	wall area	MIXS:0000198		The total area of the sampled room's walls			area|wall			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		square meter
wall_const_type	wall construction type	MIXS:0000841		The building class of the wall defined by the composition of the building elements and fire-resistance rating	{'value': 'fire resistive'}		type|wall			WallConstTypeEnum						
wall_finish_mat	wall finish material	MIXS:0000842		The material utilized to finish the outer most layer of the wall	{'value': 'wood'}		material|wall			WallFinishMatEnum						
wall_height	wall height	MIXS:0000221		The average height of the walls in the sampled room			height|wall			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		centimeter
wall_loc	wall location	MIXS:0000843		The relative location of the wall within the room	{'value': 'north'}		location|wall			CompassDirections8Enum						
wall_surf_treatment	wall surface treatment	MIXS:0000845		The surface treatment of interior wall	{'value': 'paneling'}		surface|treatment|wall			WallSurfTreatmentEnum						
wall_texture	wall texture	MIXS:0000846		The feel, appearance, or consistency of a wall surface	{'value': 'popcorn'}		texture|wall			CeilingWallTextureEnum						
wall_thermal_mass	wall thermal mass	MIXS:0000222		The ability of the wall to provide inertia against temperature fluctuations. Generally this means concrete or concrete block that is either exposed or covered only with paint			mass|wall			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		joule per degree Celsius
wall_water_mold	wall signs of water/mold	MIXS:0000844		Signs of the presence of mold or mildew on a wall	{'value': 'no presence of mold visible'}		wall			MoldVisibilityEnum						
water_feat_size	water feature size	MIXS:0000223		The size of the water feature			feature|size|water			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		square meter
water_feat_type	water feature type	MIXS:0000847		The type of water feature present within the building being sampled	{'value': 'stream'}		feature|type|water			WaterFeatTypeEnum						
weekday	weekday	MIXS:0000848		The day of the week when sampling occurred	{'value': 'Sunday'}					WeekdayEnum						
window_cond	window condition	MIXS:0000849		The physical condition of the window at the time of sampling	{'value': 'rupture'}		condition|window			DamagedRupturedEnum						
