enum	permissible_value	meaning	description	comments	suspect	single	in_subset
DrainageClassEnum	very poorly				FALSE	FALSE	packages_tab_no_conflict
DrainageClassEnum	well				FALSE	FALSE	packages_tab_no_conflict
DrawingsEnum	as built				FALSE	FALSE	packages_tab_no_conflict
DrawingsEnum	bid				FALSE	FALSE	packages_tab_no_conflict
DrawingsEnum	building navigation map				FALSE	FALSE	packages_tab_no_conflict
DrawingsEnum	construction				FALSE	FALSE	packages_tab_no_conflict
DrawingsEnum	design				FALSE	FALSE	packages_tab_no_conflict
DrawingsEnum	diagram				FALSE	FALSE	packages_tab_no_conflict
DrawingsEnum	operation				FALSE	FALSE	packages_tab_no_conflict
DrawingsEnum	sketch				FALSE	FALSE	packages_tab_no_conflict
ExtWallOrientEnum	east				FALSE	FALSE	packages_tab_no_conflict
ExtWallOrientEnum	north				FALSE	FALSE	packages_tab_no_conflict
ExtWallOrientEnum	northeast				FALSE	FALSE	packages_tab_no_conflict
ExtWallOrientEnum	northwest				FALSE	FALSE	packages_tab_no_conflict
ExtWallOrientEnum	south				FALSE	FALSE	packages_tab_no_conflict
ExtWallOrientEnum	southeast				FALSE	FALSE	packages_tab_no_conflict
ExtWallOrientEnum	southwest				FALSE	FALSE	packages_tab_no_conflict
ExtWallOrientEnum	west				FALSE	FALSE	packages_tab_no_conflict
ExtWindowOrientEnum	east				FALSE	FALSE	packages_tab_no_conflict
ExtWindowOrientEnum	north				FALSE	FALSE	packages_tab_no_conflict
ExtWindowOrientEnum	northeast				FALSE	FALSE	packages_tab_no_conflict
ExtWindowOrientEnum	northwest				FALSE	FALSE	packages_tab_no_conflict
ExtWindowOrientEnum	south				FALSE	FALSE	packages_tab_no_conflict
ExtWindowOrientEnum	southeast				FALSE	FALSE	packages_tab_no_conflict
ExtWindowOrientEnum	southwest				FALSE	FALSE	packages_tab_no_conflict
ExtWindowOrientEnum	west				FALSE	FALSE	packages_tab_no_conflict
ExtrWeatherEventEnum	drought				FALSE	FALSE	packages_tab_no_conflict
ExtrWeatherEventEnum	dust storm				FALSE	FALSE	packages_tab_no_conflict
ExtrWeatherEventEnum	extreme cold				FALSE	FALSE	packages_tab_no_conflict
ExtrWeatherEventEnum	extreme heat				FALSE	FALSE	packages_tab_no_conflict
ExtrWeatherEventEnum	flood				FALSE	FALSE	packages_tab_no_conflict
ExtrWeatherEventEnum	frost				FALSE	FALSE	packages_tab_no_conflict
ExtrWeatherEventEnum	hail				FALSE	FALSE	packages_tab_no_conflict
ExtrWeatherEventEnum	high precipitationhigh winds				FALSE	FALSE	packages_tab_no_conflict
FacilityTypeEnum	ambient storage				FALSE	FALSE	packages_tab_no_conflict
FacilityTypeEnum	caterer-catering point				FALSE	FALSE	packages_tab_no_conflict
FacilityTypeEnum	distribution				FALSE	FALSE	packages_tab_no_conflict
FacilityTypeEnum	frozen storage				FALSE	FALSE	packages_tab_no_conflict
FacilityTypeEnum	importer-broker				FALSE	FALSE	packages_tab_no_conflict
FacilityTypeEnum	interstate conveyance				FALSE	FALSE	packages_tab_no_conflict
FacilityTypeEnum	labeler-relabeler				FALSE	FALSE	packages_tab_no_conflict
FacilityTypeEnum	manufacturing-processing				FALSE	FALSE	packages_tab_no_conflict
FacilityTypeEnum	packaging				FALSE	FALSE	packages_tab_no_conflict
FacilityTypeEnum	refrigerated storage				FALSE	FALSE	packages_tab_no_conflict
FacilityTypeEnum	storage				FALSE	FALSE	packages_tab_no_conflict
FarmWaterSourceEnum	brackish				FALSE	FALSE	packages_tab_no_conflict
FarmWaterSourceEnum	canal				FALSE	FALSE	packages_tab_no_conflict
FarmWaterSourceEnum	collected rainwater				FALSE	FALSE	packages_tab_no_conflict
FarmWaterSourceEnum	ditch				FALSE	FALSE	packages_tab_no_conflict
FarmWaterSourceEnum	estuary				FALSE	FALSE	packages_tab_no_conflict
FarmWaterSourceEnum	freshwater				FALSE	FALSE	packages_tab_no_conflict
FarmWaterSourceEnum	lake				FALSE	FALSE	packages_tab_no_conflict
FarmWaterSourceEnum	manmade				FALSE	FALSE	packages_tab_no_conflict
FarmWaterSourceEnum	melt pond				FALSE	FALSE	packages_tab_no_conflict
FarmWaterSourceEnum	municipal				FALSE	FALSE	packages_tab_no_conflict
FarmWaterSourceEnum	natural				FALSE	FALSE	packages_tab_no_conflict
FarmWaterSourceEnum	pond				FALSE	FALSE	packages_tab_no_conflict
FarmWaterSourceEnum	reservior				FALSE	FALSE	packages_tab_no_conflict
FarmWaterSourceEnum	river				FALSE	FALSE	packages_tab_no_conflict
FarmWaterSourceEnum	saline				FALSE	FALSE	packages_tab_no_conflict
FarmWaterSourceEnum	storage tank				FALSE	FALSE	packages_tab_no_conflict
FarmWaterSourceEnum	stream				FALSE	FALSE	packages_tab_no_conflict
FarmWaterSourceEnum	well				FALSE	FALSE	packages_tab_no_conflict
FilterTypeEnum	chemical air filter				FALSE	FALSE	packages_tab_no_conflict
FilterTypeEnum	electrostatic				FALSE	FALSE	packages_tab_no_conflict
FilterTypeEnum	gas-phase or ultraviolet air treatments				FALSE	FALSE	packages_tab_no_conflict
FilterTypeEnum	HEPA				FALSE	FALSE	packages_tab_no_conflict
FilterTypeEnum	low-MERV pleated media				FALSE	FALSE	packages_tab_no_conflict
