enum	permissible_values	suspect	single	source
depth_enum	{float} {unit}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
elev_enum	{float} {unit}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
samp_size_enum	{float} {unit}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
samp_vol_we_dna_ext_enum	{float} {unit}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
temp_enum	{float} {unit}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
size_frac_enum	{float}-{float} {unit}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
estimated_size_enum	{integer} bp	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
adapters_enum	{dna};{dna}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
mid_enum	{dna}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
env_broad_scale_enum	{termLabel} {termID}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
env_local_scale_enum	{termLabel} {termID}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
env_medium_enum	{termLabel} {termID}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
ploidy_enum	{termLabel} {termID}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
pcr_primers_enum	FWD:{dna};REV:{dna}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
assembly_software_enum	{software};{version};{parameters}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
associated_resource_enum	{DOI}	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
associated_resource_enum	{PMID}	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
associated_resource_enum	{URL}	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
bin_software_enum	{software};{version}{PID}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
chimera_check_enum	{software};{version};{parameters}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
collection_date_enum	{timestamp}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
compl_score_enum	high	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
compl_score_enum	low;{percentage}	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
compl_score_enum	med	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
compl_software_enum	{software};{version}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
contam_screen_param_enum	combination;{text	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
contam_screen_param_enum	coverage	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
contam_screen_param_enum	integer}	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
contam_screen_param_enum	kmer	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
contam_screen_param_enum	ref db	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
experimental_factor_enum	{termLabel} {termID}	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
experimental_factor_enum	{text}	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
feat_pred_enum	{software};{version};{parameters}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
geo_loc_name_enum	{term}: {term}, {text}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
host_disease_stat_enum	{termLabel} {termID}	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
host_disease_stat_enum	{text}	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
isol_growth_condt_enum	{DOI}	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
isol_growth_condt_enum	{PMID}	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
isol_growth_condt_enum	{URL}	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
nucl_acid_amp_enum	{DOI}	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
nucl_acid_amp_enum	{PMID}	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
nucl_acid_amp_enum	{URL}	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
nucl_acid_ext_enum	{DOI}	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
